Loci,Mix,Rack,Treatment,Well,ID,Row,Match,Missing,Nanodrop
Hg.1.3,mix1,R154,Internal control,32,AGP20028,C,1,1,62.5
Hg.1.3,mix1,R154,Internal control,33,AGP20029,C,1,1,487.5
Hg.1.3,mix1,R154,Internal control,34,AGP20030,C,1,1,183.5
Hg.1.3,mix1,R154,Internal control,35,AGP20031,C,1,1,200
Hg.1.3,mix1,R154,Internal control,36,AGP20032,C,1,1,143.5
Hg.1.3,mix1,R154,Internal control,37,AGP20033,D,1,1,405
Hg.1.3,mix1,R154,Internal control,38,AGP20034,D,1,1,488.5
Hg.1.3,mix1,R154,Internal control,39,AGP20035,D,1,1,87
Hg.1.3,mix1,R154,Internal control,40,AGP20036,D,1,1,77.5
Hg.1.3,mix1,R154,Internal control,41,AGP20038,D,1,1,157.5
Hg.1.3,mix1,R154,Internal control,42,AGP20039,D,1,1,393.5
Hg.1.3,mix1,R154,Internal control,43,AGP20040,D,1,1,124
Hg.1.3,mix1,R154,Internal control,44,AGP20041,D,1,0,262
Hg.1.3,mix1,R154,Internal control,45,AGP20042,D,1,1,207
Hg.1.3,mix1,R154,Internal control,46,AGP20043,D,1,0,565.5
Hg.1.3,mix1,R154,Internal control,47,AGP20044,D,1,1,334.5
Hg.1.3,mix1,R154,Internal control,48,AGP20045,D,1,1,622.5
Hg.1.3,mix1,R154,Internal control,49,AGP20046,E,1,1,280
Hg.1.3,mix1,R154,Internal control,50,AGP20047,E,1,1,516
Hg.1.3,mix1,R154,Internal control,52,AGP20048,E,1,1,421.5
Hg.1.3,mix1,R154,Internal control,53,AGP20049,E,1,1,325.5
Hg.1.3,mix1,R154,Internal control,54,AGP20050,E,1,1,299.5
Hg.1.3,mix1,R154,Internal control,55,AGP20051,E,1,0,406
Hg.1.3,mix1,R154,Internal control,56,AGP20052,E,1,0,473
Hg.1.3,mix1,R154,Internal control,57,AGP20053,E,1,1,495
Hg.1.3,mix1,R154,Internal control,58,AGP20054,E,1,1,278.5
Hg.1.3,mix1,R154,Internal control,59,AGP20055,E,1,1,92.5
Hg.1.3,mix1,R154,Internal control,60,AGP20056,E,1,1,606
Hg.1.3,mix1,R154,Internal control,61,AGP20057,F,1,1,356.5
Hg.1.3,mix1,R154,Internal control,62,AGP20058,F,1,1,506
Hg.1.3,mix1,R154,Internal control,63,AGP20059,F,1,1,341.5
Hg.1.3,mix1,R154,Internal control,64,AGP20060,F,1,1,394
Hg.1.3,mix1,R154,Internal control,65,AGP20061,F,1,1,206
Hg.1.3,mix1,R154,Internal control,66,AGP20062,F,1,1,492
Hg.1.3,mix1,R154,Internal control,67,AGP20063,F,1,0,463.5
Hg.1.3,mix1,R154,Internal control,68,AGP20064,F,1,1,437.5
Hg.1.3,mix1,R154,Internal control,69,AGP20065,F,1,1,286.5
Hg.1.3,mix1,R154,Internal control,70,AGP20066,F,1,1,435.5
Hg.1.3,mix1,R154,Internal control,71,AGP20067,F,1,1,168.5
Hg.1.3,mix1,R154,Internal control,72,AGP20068,F,1,1,225.5
Hg.1.3,mix1,R154,Internal control,73,AGP20069,G,1,1,252.5
Hg.1.3,mix1,R154,Internal control,74,AGP20070,G,1,1,485.5
Hg.1.3,mix1,R154,Internal control,75,AGP20071,G,1,1,628
Hg.1.3,mix1,R154,Internal control,76,AGP20072,G,1,1,295
Hg.1.3,mix1,R154,Internal control,77,AGP20073,G,1,1,704
Hg.1.3,mix1,R154,Internal control,78,AGP20074,G,1,1,564
Hg.1.3,mix1,R154,Internal control,79,AGP20075,G,1,0,531.5
